"region","set_type","status","all_pop","ind_edu","phd_edu","hig_edu","mast_edu","spec_edu","bac_edu","not_compl_edu","prof_edu","prof_edu_mid_spec","prof_edu_work","mid_edu","mid_edu_gen","mid_edu_prim","non_edu","not_ind_edu"
"Republic of Karelia","city","employed",162905,159478,2616,58807,3732,40590,14485,4158,70514,44825,25689,17970,5359,27,27,3427
"Republic of Karelia","city","unemployed",2818,2793,24,700,46,426,228,75,1157,696,461,535,297,5,NA,25
"Republic of Karelia","city","not in labour",132819,131039,1705,23072,993,17924,4155,1963,56746,38418,18328,25234,18269,3743,307,1780
"Republic of Karelia","city","labour force",3611,3592,43,848,59,592,197,109,1419,872,547,768,382,20,3,19
"Republic of Karelia","city",NA,51442,4739,32,812,40,585,187,80,1791,1203,588,963,891,158,12,46703
"Republic of Karelia","village",NA,91702,89829,568,10072,418,7415,2239,970,42892,23450,19442,17755,15030,2375,167,1873
"Republic of Karelia","village","indicated status",88985,88447,566,9962,415,7328,2219,966,42256,23138,19118,17487,14723,2321,166,538
"Republic of Karelia","village","labour force",39408,39097,311,6220,294,4348,1578,581,20080,11032,9048,7185,4691,16,13,311
"Republic of Karelia","village","employed",38134,37824,310,6144,294,4301,1549,568,19571,10792,8779,6895,4309,14,13,310
"Republic of Karelia","village","unemployed",1274,1273,1,76,NA,47,29,13,509,240,269,290,382,2,NA,1
"Republic of Karelia","village","not in labour",49577,49350,255,3742,121,2980,641,385,22176,12106,10070,10302,10032,2305,153,227
"Republic of Karelia","village","labour force",1591,1589,5,134,9,98,27,17,662,345,317,396,334,36,5,2
"Republic of Karelia","village",NA,2717,1382,2,110,3,87,20,4,636,312,324,268,307,54,1,1335
"Komi Republic","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Komi Republic","total",NA,599883,461898,6498,108081,6637,76303,25141,7716,208341,132465,75876,73763,48578,7836,1085,137985
"Komi Republic","total","indicated status",459824,453230,6393,106876,6561,75496,24819,7598,205067,130223,74844,71877,46861,7526,1032,6594
"Komi Republic","total","labour force",260072,255849,4333,83246,5509,57312,20425,5472,118812,74144,44668,31502,12275,145,64,4223
"Komi Republic","total","employed",254054,249864,4296,82431,5469,56785,20177,5375,116218,72799,43419,30119,11234,128,63,4190
"Komi Republic","total","unemployed",6018,5985,37,815,40,527,248,97,2594,1345,1249,1383,1041,17,1,33
"Komi Republic","total","not in labour",199752,197381,2060,23630,1052,18184,4394,2126,86255,56079,30176,40375,34586,7381,968,2371
"Komi Republic","total","labour force",6782,6671,43,1023,57,710,256,97,2912,1639,1273,1438,1077,70,11,111
"Komi Republic","total",NA,140059,8668,105,1205,76,807,322,118,3274,2242,1032,1886,1717,310,53,131391
"Komi Republic","city",NA,464171,329389,5711,90656,5952,63567,21137,6561,146324,95027,51297,48891,26426,4352,468,134782
"Komi Republic","city","indicated status",327907,322059,5609,89530,5879,62825,20826,6452,143517,93111,50406,47339,25039,4132,441,5848
"Komi Republic","city","labour force",195195,191403,3787,70453,4957,48280,17216,4687,85991,54516,31475,20568,5767,99,51,3792
"Komi Republic","city","employed",191887,188124,3755,69772,4919,47844,17009,4613,84497,53668,30829,19890,5458,89,50,3763
"Komi Republic","city","unemployed",3308,3279,32,681,38,436,207,74,1494,848,646,678,309,10,1,29
"Komi Republic","city","not in labour",132712,130656,1822,19077,922,14545,3610,1765,57526,38595,18931,26771,19272,4033,390,2056
"Komi Republic","city","labour force",4138,4044,39,857,52,594,211,83,1818,1053,765,790,428,23,6,94
"Komi Republic","city",NA,136264,7330,102,1126,73,742,311,109,2807,1916,891,1552,1387,220,27,128934
"Komi Republic","village",NA,135712,132509,787,17425,685,12736,4004,1155,62017,37438,24579,24872,22152,3484,617,3203
"Komi Republic","village","indicated status",131917,131171,784,17346,682,12671,3993,1146,61550,37112,24438,24538,21822,3394,591,746
"Komi Republic","village","labour force",64877,64446,546,12793,552,9032,3209,785,32821,19628,13193,10934,6508,46,13,431
"Komi Republic","village","employed",62167,61740,541,12659,550,8941,3168,762,31721,19131,12590,10229,5776,39,13,427
"Komi Republic","village","unemployed",2710,2706,5,134,2,91,41,23,1100,497,603,705,732,7,NA,4
"Komi Republic","village","not in labour",67040,66725,238,4553,130,3639,784,361,28729,17484,11245,13604,15314,3348,578,315
"Komi Republic","village","labour force",2644,2627,4,166,5,116,45,14,1094,586,508,648,649,47,5,17
"Komi Republic","village",NA,3795,1338,3,79,3,65,11,9,467,326,141,334,330,90,26,2457
"Arkhangelsk Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkhangelsk Oblast","total",NA,833990,679271,7688,147199,9364,109207,28628,9963,319068,192169,126899,107498,74284,12341,1230,154719
"Arkhangelsk Oblast","total","indicated status",675774,662474,7485,144916,9246,107676,27994,9723,311575,187455,124120,104364,71385,11851,1175,13300
"Arkhangelsk Oblast","total","labour force",361980,353678,4831,109254,7559,79279,22416,6980,173504,102878,70626,41866,16978,131,134,8302
"Arkhangelsk Oblast","total","employed",355581,347323,4802,108370,7511,78675,22184,6862,170554,101363,69191,40584,15902,119,130,8258
"Arkhangelsk Oblast","total","unemployed",6399,6355,29,884,48,604,232,118,2950,1515,1435,1282,1076,12,4,44
"Arkhangelsk Oblast","total","not in labour",313794,308796,2654,35662,1687,28397,5578,2743,138071,84577,53494,62498,54407,11720,1041,4998
"Arkhangelsk Oblast","total","labour force",7339,7296,53,1211,116,858,237,119,3341,1914,1427,1489,1033,43,7,43
"Arkhangelsk Oblast","total",NA,158216,16797,203,2283,118,1531,634,240,7493,4714,2779,3134,2899,490,55,141419
"Arkhangelsk Oblast","city",NA,641808,494225,6716,126821,8568,94048,24205,8410,229383,143840,85543,73065,42052,7071,707,147583
"Arkhangelsk Oblast","city","indicated status",491508,479581,6517,124711,8454,92627,23630,8190,222655,139509,83146,70394,39722,6707,685,11927
"Arkhangelsk Oblast","city","labour force",280683,273131,4287,95585,6935,69519,19131,6007,129949,79292,50657,28674,8427,98,104,7552
"Arkhangelsk Oblast","city","employed",277230,269714,4259,94843,6889,69005,18949,5916,128346,78325,50021,28025,8134,89,102,7516
"Arkhangelsk Oblast","city","unemployed",3453,3417,28,742,46,514,182,91,1603,967,636,649,293,9,2,36
"Arkhangelsk Oblast","city","not in labour",210825,206450,2230,29126,1519,23108,4499,2183,92706,60217,32489,41720,31295,6609,581,4375
"Arkhangelsk Oblast","city","labour force",4664,4627,39,1019,105,706,208,101,2100,1292,808,902,442,23,1,37
"Arkhangelsk Oblast","city",NA,150300,14644,199,2110,114,1421,575,220,6728,4331,2397,2671,2330,364,22,135656
"Arkhangelsk Oblast","village",NA,192182,185046,972,20378,796,15159,4423,1553,89685,48329,41356,34433,32232,5270,523,7136
"Arkhangelsk Oblast","village","indicated status",184266,182893,968,20205,792,15049,4364,1533,88920,47946,40974,33970,31663,5144,490,1373
"Arkhangelsk Oblast","village","labour force",81297,80547,544,13669,624,9760,3285,973,43555,23586,19969,13192,8551,33,30,750
"Arkhangelsk Oblast","village","employed",78351,77609,543,13527,622,9670,3235,946,42208,23038,19170,12559,7768,30,28,742
"Arkhangelsk Oblast","village","unemployed",2946,2938,1,142,2,90,50,27,1347,548,799,633,783,3,2,8
"Arkhangelsk Oblast","village","not in labour",102969,102346,424,6536,168,5289,1079,560,45365,24360,21005,20778,23112,5111,460,623
"Arkhangelsk Oblast","village","labour force",2675,2669,14,192,11,152,29,18,1241,622,619,587,591,20,6,6
"Arkhangelsk Oblast","village",NA,7916,2153,4,173,4,110,59,20,765,383,382,463,569,126,33,5763
"Nenets Autonomous Okrug","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nenets Autonomous Okrug","total",NA,32524,26871,239,6719,362,4691,1666,474,11185,7005,4180,3656,3932,541,125,5653
"Nenets Autonomous Okrug","total","indicated status",26705,26240,223,6645,358,4640,1647,461,10934,6842,4092,3548,3830,501,98,465
"Nenets Autonomous Okrug","total","labour force",16838,16520,174,5735,311,3969,1455,374,7114,4469,2645,1757,1335,15,16,318
"Nenets Autonomous Okrug","total","employed",16291,15979,171,5677,310,3934,1433,361,6918,4365,2553,1660,1164,13,15,312
"Nenets Autonomous Okrug","total","unemployed",547,541,3,58,1,35,22,13,196,104,92,97,171,2,1,6
"Nenets Autonomous Okrug","total","not in labour",9867,9720,49,910,47,671,192,87,3820,2373,1447,1791,2495,486,82,147
"Nenets Autonomous Okrug","total","labour force",369,366,5,44,4,29,11,4,154,81,73,54,101,4,NA,3
"Nenets Autonomous Okrug","total",NA,5819,631,16,74,4,51,19,13,251,163,88,108,102,40,27,5188
"Nenets Autonomous Okrug","city",NA,24016,18491,223,5941,342,4223,1376,395,7723,5094,2629,2315,1603,255,36,5525
"Nenets Autonomous Okrug","city","indicated status",18434,18003,207,5874,338,4174,1362,385,7507,4941,2566,2231,1538,225,36,431
"Nenets Autonomous Okrug","city","labour force",12325,12023,160,5102,300,3593,1209,311,5005,3272,1733,1071,365,5,4,302
"Nenets Autonomous Okrug","city","employed",12124,11827,157,5056,299,3562,1195,302,4923,3219,1704,1038,344,4,3,297
"Nenets Autonomous Okrug","city","unemployed",201,196,3,46,1,31,14,9,82,53,29,33,21,1,1,5
"Nenets Autonomous Okrug","city","not in labour",6109,5980,47,772,38,581,153,74,2502,1669,833,1160,1173,220,32,129
"Nenets Autonomous Okrug","city","labour force",218,215,5,39,4,24,11,4,99,54,45,41,26,1,NA,3
"Nenets Autonomous Okrug","city",NA,5582,488,16,67,4,49,14,10,216,153,63,84,65,30,NA,5094
"Nenets Autonomous Okrug","village",NA,8508,8380,16,778,20,468,290,79,3462,1911,1551,1341,2329,286,89,128
"Nenets Autonomous Okrug","village","indicated status",8271,8237,16,771,20,466,285,76,3427,1901,1526,1317,2292,276,62,34
"Nenets Autonomous Okrug","village","labour force",4513,4497,14,633,11,376,246,63,2109,1197,912,686,970,10,12,16
"Nenets Autonomous Okrug","village","employed",4167,4152,14,621,11,372,238,59,1995,1146,849,622,820,9,12,15
"Nenets Autonomous Okrug","village","unemployed",346,345,NA,12,NA,4,8,4,114,51,63,64,150,1,NA,1
"Nenets Autonomous Okrug","village","not in labour",3758,3740,2,138,9,90,39,13,1318,704,614,631,1322,266,50,18
"Nenets Autonomous Okrug","village","labour force",151,151,NA,5,NA,5,NA,NA,55,27,28,13,75,3,NA,NA
"Nenets Autonomous Okrug","village",NA,237,143,NA,7,NA,2,5,3,35,10,25,24,37,10,27,94
"Архангельская область без автономного округа","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Архангельская область без автономного округа","total",NA,801466,652400,7449,140480,9002,104516,26962,9489,307883,185164,122719,103842,70352,11800,1105,149066
"Архангельская область без автономного округа","total","indicated status",649069,636234,7262,138271,8888,103036,26347,9262,300641,180613,120028,100816,67555,11350,1077,12835
"Архангельская область без автономного округа","total","labour force",345142,337158,4657,103519,7248,75310,20961,6606,166390,98409,67981,40109,15643,116,118,7984
"Архангельская область без автономного округа","total","employed",339290,331344,4631,102693,7201,74741,20751,6501,163636,96998,66638,38924,14738,106,115,7946
"Архангельская область без автономного округа","total","unemployed",5852,5814,26,826,47,569,210,105,2754,1411,1343,1185,905,10,3,38
"Архангельская область без автономного округа","total","not in labour",303927,299076,2605,34752,1640,27726,5386,2656,134251,82204,52047,60707,51912,11234,959,4851
"Архангельская область без автономного округа","total","labour force",6970,6930,48,1167,112,829,226,115,3187,1833,1354,1435,932,39,7,40
"Архангельская область без автономного округа","total",NA,152397,16166,187,2209,114,1480,615,227,7242,4551,2691,3026,2797,450,28,136231
"Архангельская область без автономного округа","city",NA,617792,475734,6493,120880,8226,89825,22829,8015,221660,138746,82914,70750,40449,6816,671,142058
"Архангельская область без автономного округа","city","indicated status",473074,461578,6310,118837,8116,88453,22268,7805,215148,134568,80580,68163,38184,6482,649,11496
"Архангельская область без автономного округа","city","labour force",268358,261108,4127,90483,6635,65926,17922,5696,124944,76020,48924,27603,8062,93,100,7250
"Архангельская область без автономного округа","city","employed",265106,257887,4102,89787,6590,65443,17754,5614,123423,75106,48317,26987,7790,85,99,7219
"Архангельская область без автономного округа","city","unemployed",3252,3221,25,696,45,483,168,82,1521,914,607,616,272,8,1,31
"Архангельская область без автономного округа","city","not in labour",204716,200470,2183,28354,1481,22527,4346,2109,90204,58548,31656,40560,30122,6389,549,4246
"Архангельская область без автономного округа","city","labour force",4446,4412,34,980,101,682,197,97,2001,1238,763,861,416,22,1,34
"Архангельская область без автономного округа","city",NA,144718,14156,183,2043,110,1372,561,210,6512,4178,2334,2587,2265,334,22,130562
"Архангельская область без автономного округа","village",NA,183674,176666,956,19600,776,14691,4133,1474,86223,46418,39805,33092,29903,4984,434,7008
"Архангельская область без автономного округа","village","indicated status",175995,174656,952,19434,772,14583,4079,1457,85493,46045,39448,32653,29371,4868,428,1339
"Архангельская область без автономного округа","village","labour force",76784,76050,530,13036,613,9384,3039,910,41446,22389,19057,12506,7581,23,18,734
"Архангельская область без автономного округа","village","employed",74184,73457,529,12906,611,9298,2997,887,40213,21892,18321,11937,6948,21,16,727
"Архангельская область без автономного округа","village","unemployed",2600,2593,1,130,2,86,42,23,1233,497,736,569,633,2,2,7
"Архангельская область без автономного округа","village","not in labour",99211,98606,422,6398,159,5199,1040,547,44047,23656,20391,20147,21790,4845,410,605
"Архангельская область без автономного округа","village","labour force",2524,2518,14,187,11,147,29,18,1186,595,591,574,516,17,6,6
"Архангельская область без автономного округа","village",NA,7679,2010,4,166,4,108,54,17,730,373,357,439,532,116,6,5669
"Vologda Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vologda Oblast","total",NA,938199,712488,7519,159874,8308,117629,33937,10281,317683,201732,115951,121126,75548,18929,1528,225711
"Vologda Oblast","total","indicated status",710268,696093,7396,157332,8222,115814,33296,10093,310684,197011,113673,117799,73156,18132,1501,14175
"Vologda Oblast","total","labour force",391721,382363,4711,114774,6531,82092,26151,7115,181442,111505,69937,51001,21276,1872,172,9358
"Vologda Oblast","total","employed",386750,377441,4668,113841,6476,81435,25930,7041,179297,110295,69002,49972,20643,1808,171,9309
"Vologda Oblast","total","unemployed",4971,4922,43,933,55,657,221,74,2145,1210,935,1029,633,64,1,49
"Vologda Oblast","total","not in labour",318547,313730,2685,42558,1691,33722,7145,2978,129242,85506,43736,66798,51880,16260,1329,4817
"Vologda Oblast","total","labour force",6187,6149,48,1135,79,806,250,96,2491,1485,1006,1335,919,112,13,38
"Vologda Oblast","total",NA,227931,16395,123,2542,86,1815,641,188,6999,4721,2278,3327,2392,797,27,211536
"Vologda Oblast","city",NA,672853,461306,5739,126679,7137,93712,25830,7834,202925,132825,70100,70236,37926,9229,738,211547
"Vologda Oblast","city","indicated status",460688,450076,5630,124688,7056,92213,25419,7689,197882,129277,68605,68187,36540,8737,723,10612
"Vologda Oblast","city","labour force",262207,255081,3726,92017,5600,66345,20072,5514,115661,73038,42623,28018,9205,847,93,7126
"Vologda Oblast","city","employed",259293,252200,3690,91257,5553,65812,19892,5459,114427,72288,42139,27508,8952,815,92,7093
"Vologda Oblast","city","unemployed",2914,2881,36,760,47,533,180,55,1234,750,484,510,253,32,1,33
"Vologda Oblast","city","not in labour",198481,194995,1904,32671,1456,25868,5347,2175,82221,56239,25982,40169,27335,7890,630,3486
"Vologda Oblast","city","labour force",3697,3671,36,914,71,637,206,69,1447,908,539,771,370,57,7,26
"Vologda Oblast","city",NA,212165,11230,109,1991,81,1499,411,145,5043,3548,1495,2049,1386,492,15,200935
"Vologda Oblast","village",NA,265346,251182,1780,33195,1171,23917,8107,2447,114758,68907,45851,50890,37622,9700,790,14164
"Vologda Oblast","village","indicated status",249580,246017,1766,32644,1166,23601,7877,2404,112802,67734,45068,49612,36616,9395,778,3563
"Vologda Oblast","village","labour force",129514,127282,985,22757,931,15747,6079,1601,65781,38467,27314,22983,12071,1025,79,2232
"Vologda Oblast","village","employed",127457,125241,978,22584,923,15623,6038,1582,64870,38007,26863,22464,11691,993,79,2216
"Vologda Oblast","village","unemployed",2057,2041,7,173,8,124,41,19,911,460,451,519,380,32,NA,16
"Vologda Oblast","village","not in labour",120066,118735,781,9887,235,7854,1798,803,47021,29267,17754,26629,24545,8370,699,1331
"Vologda Oblast","village","labour force",2490,2478,12,221,8,169,44,27,1044,577,467,564,549,55,6,12
"Vologda Oblast","village",NA,15766,5165,14,551,5,316,230,43,1956,1173,783,1278,1006,305,12,10601
"Kaliningrad Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaliningrad Oblast","total",NA,855867,650259,13929,177765,12261,123990,41514,14636,267016,187110,79906,109170,55449,11102,1192,205608
"Kaliningrad Oblast","total","indicated status",645238,616171,13336,170584,11875,119031,39678,13966,254116,177507,76609,102189,50760,10077,1143,29067
"Kaliningrad Oblast","total","labour force",393543,373106,8907,124379,9071,84681,30627,10271,161196,110284,50912,49589,17712,849,203,20437
"Kaliningrad Oblast","total","employed",388846,368449,8847,123018,8935,83803,30280,10162,159399,109110,50289,48790,17228,805,200,20397
"Kaliningrad Oblast","total","unemployed",4697,4657,60,1361,136,878,347,109,1797,1174,623,799,484,44,3,40
"Kaliningrad Oblast","total","not in labour",251695,243065,4429,46205,2804,34350,9051,3695,92920,67223,25697,52600,33048,9228,940,8630
"Kaliningrad Oblast","total","labour force",5811,5740,118,1775,171,1221,383,150,2067,1406,661,1063,487,72,8,71
"Kaliningrad Oblast","total",NA,210629,34088,593,7181,386,4959,1836,670,12900,9603,3297,6981,4689,1025,49,176541
"Kaliningrad Oblast","city",NA,660151,492652,12253,154672,11110,108149,35413,12042,201261,144589,56672,71905,33516,6511,492,167499
"Kaliningrad Oblast","city","indicated status",489187,464760,11742,148321,10746,103721,33854,11468,190541,136447,54094,66465,30035,5729,459,24427
"Kaliningrad Oblast","city","labour force",302218,285394,7885,108050,8214,73623,26213,8479,119484,83853,35631,31455,9567,411,63,16824
"Kaliningrad Oblast","city","employed",298976,282186,7834,106868,8092,72839,25937,8388,118224,82977,35247,31007,9414,389,62,16790
"Kaliningrad Oblast","city","unemployed",3242,3208,51,1182,122,784,276,91,1260,876,384,448,153,22,1,34
"Kaliningrad Oblast","city","not in labour",186969,179366,3857,40271,2532,30098,7641,2989,71057,52594,18463,35010,20468,5318,396,7603
"Kaliningrad Oblast","city","labour force",4483,4420,105,1603,153,1125,325,124,1557,1078,479,722,267,37,5,63
"Kaliningrad Oblast","city",NA,170964,27892,511,6351,364,4428,1559,574,10720,8142,2578,5440,3481,782,33,143072
"Kaliningrad Oblast","village",NA,195716,157607,1676,23093,1151,15841,6101,2594,65755,42521,23234,37265,21933,4591,700,38109
"Kaliningrad Oblast","village","indicated status",156051,151411,1594,22263,1129,15310,5824,2498,63575,41060,22515,35724,20725,4348,684,4640
"Kaliningrad Oblast","village","labour force",91325,87712,1022,16329,857,11058,4414,1792,41712,26431,15281,18134,8145,438,140,3613
"Kaliningrad Oblast","village","employed",89870,86263,1013,16150,843,10964,4343,1774,41175,26133,15042,17783,7814,416,138,3607
"Kaliningrad Oblast","village","unemployed",1455,1449,9,179,14,94,71,18,537,298,239,351,331,22,2,6
"Kaliningrad Oblast","village","not in labour",64726,63699,572,5934,272,4252,1410,706,21863,14629,7234,17590,12580,3910,544,1027
"Kaliningrad Oblast","village","labour force",1328,1320,13,172,18,96,58,26,510,328,182,341,220,35,3,8
"Kaliningrad Oblast","village",NA,39665,6196,82,830,22,531,277,96,2180,1461,719,1541,1208,243,16,33469
"Leningrad Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leningrad Oblast","total",NA,1719845,1333146,15815,332701,21524,228316,82861,38942,601334,373633,227701,217535,102626,22909,1284,386699
"Leningrad Oblast","total","indicated status",1350077,1284666,15312,325028,21141,223098,80789,37681,583384,361954,221430,207496,94510,20033,1222,65411
"Leningrad Oblast","total","labour force",893498,844689,10612,260150,17763,174319,68068,30036,401044,245354,155690,105615,34222,2760,250,48809
"Leningrad Oblast","total","employed",888216,839478,10525,258682,17638,173383,67661,29855,398990,244129,154861,104691,33786,2702,247,48738
"Leningrad Oblast","total","unemployed",5282,5211,87,1468,125,936,407,181,2054,1225,829,924,436,58,3,71
"Leningrad Oblast","total","not in labour",456579,439977,4700,64878,3378,48779,12721,7645,182340,116600,65740,101881,60288,17273,972,16602
"Leningrad Oblast","total","labour force",7847,7745,102,2176,202,1479,495,233,2974,1813,1161,1486,679,92,3,102
"Leningrad Oblast","total",NA,369768,48480,503,7673,383,5218,2072,1261,17950,11679,6271,10039,8116,2876,62,321288
"Leningrad Oblast","city",NA,1160048,870613,11886,246521,16734,170943,58844,25928,383513,242517,140996,130106,58015,13864,780,289435
"Leningrad Oblast","city","indicated status",887082,839366,11515,241013,16427,167149,57437,25157,372087,234885,137202,124103,53012,11746,733,47716
"Leningrad Oblast","city","labour force",591931,555558,8077,194216,13900,131482,48834,20209,253980,158092,95888,59989,17326,1611,150,36373
"Leningrad Oblast","city","employed",588396,552065,8008,193090,13814,130764,48512,20070,252651,157315,95336,59420,17097,1581,148,36331
"Leningrad Oblast","city","unemployed",3535,3493,69,1126,86,718,322,139,1329,777,552,569,229,30,2,42
"Leningrad Oblast","city","not in labour",295151,283808,3438,46797,2527,35667,8603,4948,118107,76793,41314,64114,35686,10135,583,11343
"Leningrad Oblast","city","labour force",5590,5511,77,1681,153,1135,393,162,2055,1274,781,1032,445,57,2,79
"Leningrad Oblast","city",NA,272966,31247,371,5508,307,3794,1407,771,11426,7632,3794,6003,5003,2118,47,241719
"Leningrad Oblast","village",NA,559797,462533,3929,86180,4790,57373,24017,13014,217821,131116,86705,87429,44611,9045,504,97264
"Leningrad Oblast","village","indicated status",462995,445300,3797,84015,4714,55949,23352,12524,211297,127069,84228,83393,41498,8287,489,17695
"Leningrad Oblast","village","labour force",301567,289131,2535,65934,3863,42837,19234,9827,147064,87262,59802,45626,16896,1149,100,12436
"Leningrad Oblast","village","employed",299820,287413,2517,65592,3824,42619,19149,9785,146339,86814,59525,45271,16689,1121,99,12407
"Leningrad Oblast","village","unemployed",1747,1718,18,342,39,218,85,42,725,448,277,355,207,28,1,29
"Leningrad Oblast","village","not in labour",161428,156169,1262,18081,851,13112,4118,2697,64233,39807,24426,37767,24602,7138,389,5259
"Leningrad Oblast","village","labour force",2257,2234,25,495,49,344,102,71,919,539,380,454,234,35,1,23
"Leningrad Oblast","village",NA,96802,17233,132,2165,76,1424,665,490,6524,4047,2477,4036,3113,758,15,79569
"Murmansk Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murmansk Oblast","total",NA,543821,438728,6409,124306,7816,89695,26795,7800,191331,117934,73397,69948,30636,7765,533,105093
"Murmansk Oblast","total","indicated status",454432,428342,6304,122878,7745,88681,26452,7684,187424,115482,71942,67371,29034,7138,509,26090
"Murmansk Oblast","total","labour force",291782,273606,4634,100303,6488,71704,22111,5744,122755,73967,48788,31883,7447,749,91,18176
"Murmansk Oblast","total","employed",287826,269709,4597,99388,6423,71096,21869,5640,120969,73075,47894,31174,7134,718,89,18117
"Murmansk Oblast","total","unemployed",3956,3897,37,915,65,608,242,104,1786,892,894,709,313,31,2,59
"Murmansk Oblast","total","not in labour",162650,154736,1670,22575,1257,16977,4341,1940,64669,41515,23154,35488,21587,6389,418,7914
"Murmansk Oblast","total","labour force",4845,4793,42,1251,89,847,315,101,2010,1154,856,903,427,57,2,52
"Murmansk Oblast","total",NA,89389,10386,105,1428,71,1014,343,116,3907,2452,1455,2577,1602,627,24,79003
"Murmansk Oblast","city",NA,509494,406334,6121,116376,7432,84030,24914,7334,176983,110230,66753,64036,27885,7108,491,103160
"Murmansk Oblast","city","indicated status",422102,396334,6017,114996,7362,83052,24582,7223,173222,107876,65346,61548,26340,6519,469,25768
"Murmansk Oblast","city","labour force",269858,251891,4426,93737,6154,67050,20533,5387,112547,68622,43925,28527,6494,687,86,17967
"Murmansk Oblast","city","employed",266323,248411,4394,92895,6094,66488,20313,5289,110976,67820,43156,27887,6226,660,84,17912
"Murmansk Oblast","city","unemployed",3535,3480,32,842,60,562,220,98,1571,802,769,640,268,27,2,55
"Murmansk Oblast","city","not in labour",152244,144443,1591,21259,1208,16002,4049,1836,60675,39254,21421,33021,19846,5832,383,7801
"Murmansk Oblast","city","labour force",4385,4333,40,1149,87,777,285,88,1818,1060,758,799,386,51,2,52
"Murmansk Oblast","city",NA,87392,10000,104,1380,70,978,332,111,3761,2354,1407,2488,1545,589,22,77392
"Murmansk Oblast","village",NA,34327,32394,288,7930,384,5665,1881,466,14348,7704,6644,5912,2751,657,42,1933
"Murmansk Oblast","village","indicated status",32330,32008,287,7882,383,5629,1870,461,14202,7606,6596,5823,2694,619,40,322
"Murmansk Oblast","village","labour force",21924,21715,208,6566,334,4654,1578,357,10208,5345,4863,3356,953,62,5,209
"Murmansk Oblast","village","employed",21503,21298,203,6493,329,4608,1556,351,9993,5255,4738,3287,908,58,5,205
"Murmansk Oblast","village","unemployed",421,417,5,73,5,46,22,6,215,90,125,69,45,4,NA,4
"Murmansk Oblast","village","not in labour",10406,10293,79,1316,49,975,292,104,3994,2261,1733,2467,1741,557,35,113
"Murmansk Oblast","village","labour force",460,460,2,102,2,70,30,13,192,94,98,104,41,6,NA,NA
"Murmansk Oblast","village",NA,1997,386,1,48,1,36,11,5,146,98,48,89,57,38,2,1611
"Novgorod Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Novgorod Oblast","total",NA,487376,390757,5632,83130,4848,58800,19482,6469,171458,110234,61224,74556,38716,10021,775,96619
"Novgorod Oblast","total","indicated status",390659,380710,5442,81800,4790,57798,19212,6234,167710,107836,59874,72131,37119,9530,744,9949
"Novgorod Oblast","total","labour force",213163,206473,3232,58440,3670,39999,14771,4339,98558,61351,37207,30941,10160,744,59,6690
"Novgorod Oblast","total","employed",210733,204057,3207,57958,3635,39676,14647,4278,97526,60773,36753,30382,9932,719,55,6676
"Novgorod Oblast","total","unemployed",2430,2416,25,482,35,323,124,61,1032,578,454,559,228,25,4,14
"Novgorod Oblast","total","not in labour",177496,174237,2210,23360,1120,17799,4441,1895,69152,46485,22667,41190,26959,8786,685,3259
"Novgorod Oblast","total","labour force",3192,3177,25,704,83,479,142,64,1178,691,487,825,335,41,5,15
"Novgorod Oblast","total",NA,96717,10047,190,1330,58,1002,270,235,3748,2398,1350,2425,1597,491,31,86670
"Novgorod Oblast","city",NA,352234,266031,4134,67866,4096,47720,16050,4905,114842,75433,39409,46846,21564,5364,510,86203
"Novgorod Oblast","city","indicated status",267518,259002,3964,66772,4043,46900,15829,4704,112134,73640,38494,45344,20557,5040,487,8516
"Novgorod Oblast","city","labour force",152821,147039,2455,48637,3158,33105,12374,3393,67699,43097,24602,19396,5031,382,46,5782
"Novgorod Oblast","city","employed",151091,145319,2440,48225,3131,32825,12269,3341,66976,42672,24304,19015,4912,368,42,5772
"Novgorod Oblast","city","unemployed",1730,1720,15,412,27,280,105,52,723,425,298,381,119,14,4,10
"Novgorod Oblast","city","not in labour",114697,111963,1509,18135,885,13795,3455,1311,44435,30543,13892,25948,15526,4658,441,2734
"Novgorod Oblast","city","labour force",2429,2417,16,610,75,410,125,54,880,536,344,618,211,25,3,12
"Novgorod Oblast","city",NA,84716,7029,170,1094,53,820,221,201,2708,1793,915,1502,1007,324,23,77687
